artist,song.name,year,corpus,rank,start,end,male,non.cis,race,ethnicity,primary.status,BIPOC,gender,encoder,
Eric Church,Springsteen,2011,2021,391,0,8,1,0,0,0,1,0,1,TM,
Eric Clapton,Tears in Heaven,1992,2004,353,0,12,0,0,0,0,0,0,0,TM,
Erykah Badu,Tyrone,1997,2021,448,0,33,0,0,0,0,0,0,0,TM,
Etta James,At Last,1960,2021,115,0,18,0,0,0,0,0,0,0,TM,
Eurythmics,Sweet Dreams (Are Made of This),1983,2004,356,0,26,0,0,0,0,0,0,0,TM,
Eurythmics,Sweet Dreams (Are Made Of This),1983,2021,353,0,26,0,0,0,0,0,0,0,TM,
Everly Brothers,All I have to Do is Dream,1958,2021,323,0,1,0,0,0,0,0,0,0,TM,
Faces,Ooh La La,1973,2021,246,0,31,0,0,0,0,0,0,0,TM,
Fall Out Boy,"Sugar, We're Goin Down",2005,2021,443,0,25,0,0,0,1,0,0,0,TM,
Fats Domino,Ain't It a Shame,1955,2004,431,0,0,0,0,0,0,0,0,0,TM,
Fats Domino,Blueberry Hill,1956,2004,81,0,10,0,0,0,0,0,0,0,TM,
Fats Domino,Blueberry Hill,1956,2021,147,0,10,0,0,0,0,0,0,0,TM,
Fiona Apple,Criminal,1996,2021,423,0,21,0,0,0,0,0,0,0,TM,
Fiona Apple,Paper Bag,1999,2021,382,0,9,0,0,0,0,0,0,0,TM,
Fleetwood Mac,Dreams,1977,2021,9,0,16,0,0,0,0,0,0,0,TM,
Fleetwood Mac,Go Your Own Way,1977,2004,119,0,4,0,0,0,0,0,0,0,TM,
Fleetwood Mac,Go Your Own Way,1977,2021,401,0,4,0,0,0,0,0,0,0,TM,
Fleetwood Mac,Landslide,1975,2021,163,0,12,0,0,0,0,0,0,0,TM,
Fleetwood Mac,Rhiannon (Will You Ever Win),1975,2004,488,0,14,0,0,0,0,0,0,0,TM,
Foo Fighters,Everlong,1997,2021,409,0,31,0,0,0,0,0,0,0,TM,
Foreigner,I Want to Know What Love Is,1984,2004,476,0,14,0,0,0,0,0,0,0,TM,
