artist,title,primary.status,BIHAP,gender,year,corpus,total,rank
Sly and the Family Stone,Family Affair,1,1,1,1971,2021,4,57
Procol Harum,A Whiter Shade of Pale,0,0,0,1967,2004,27,57
The Band,The Weight,0,0,0,1968,2021,10,58
Michael Jackson,Billie Jean,1,1,0,1983,2004,28,58
Grandmaster Flash and the Furious Five,The Message,1,1,0,1982,2021,42,59
Bob Dylan,The Times They Are A-Changin',0,0,0,1964,2004,2,59
Kate Bush,Running Up That Hill,1,0,1,1985,2021,25,60
Al Green,Let's Stay Together,1,1,0,1971,2004,10,60
Led Zeppelin,Stairway to Heaven,0,0,0,1971,2021,53,61
Jerry Lee Lewis,Whole Lotta Shakin' Goin On,0,0,0,1957,2004,8,61
U2,One,0,0,0,1992,2021,12,62
Bo Diddley,Bo Diddley,1,1,0,1955,2004,10,62
Dolly Parton,Jolene,1,0,1,1974,2021,8,63
Buffalo Springfield,For What It's Worth,0,0,0,1967,2004,9,63
Ramones,Blitzkrieg Bop,0,0,0,1976,2021,32,64
The Beatles,She Loves You,0,0,0,1963,2004,0,64
"Earth, Wind, and Fire",September,1,1,0,1978,2021,18,65
Cream,Sunshine of Your Love,0,0,0,1968,2004,17,65
Simon and Garfunkel,Bridge Over Troubled Water,0,0,0,1970,2021,22,66
Bob Marley and the Wailers,Redemption Song,1,1,0,1980,2004,16,66
Bob Dylan,Tangled Up in Blue,0,0,0,1975,2021,10,67
Elvis Presley,Jailhouse Rock,0,0,0,1957,2004,6,67
Chic,Good Times,1,1,0,1979,2021,18,68
Bob Dylan,Tangled Up in Blue,0,0,0,1975,2004,10,68
Taylor Swift,All Too Well,1,0,1,2012,2021,20,69
Roy Orbison,Crying,0,0,0,1961,2004,5,69
Elvis Presley,Suspicious Minds,0,0,0,1969,2021,5,70
Dionne Warwick,Walk On By,1,1,1,1964,2004,4,70
Tracy Chapman,Fast Car,1,1,1,1988,2021,19,71
The Beach Boys,California Girls,0,0,0,1965,2004,23,71
The Beatles,Yesterday,0,0,0,1965,2021,5,72
James Brown,Papa's Got a Brand New Bag,1,1,0,1966,2004,0,72
Beyonce,Formation,1,1,1,2016,2021,8,73
Eddie Cochran,Summertime Blues,0,0,0,1958,2004,10,73
Leonard Cohen,Hallelujah,0,0,0,1984,2021,3,74
Stevie Wonder,Superstition,1,1,0,1972,2004,29,74
Pulp,Common People,0,0,0,1996,2021,6,75
Led Zeppelin,Whole Lotta Love,0,0,0,1969,2004,11,75
Johnny Cash,I Walk the Line,0,0,0,1956,2021,29,76
The Beatles,Strawberry Fields Forever,0,0,0,1967,2004,15,76
The Modern Lovers,Roadrunner,0,0,0,1976,2021,4,77
Elvis Presley,Mystery Train,0,0,0,1955,2004,7,77
The Four Tops,Reach Out (I'll Be There),1,1,0,1967,2021,14,78
James Brown,I Got You (I Feel Good),1,1,0,1965,2004,0,78
